id;content;start ;end;group;subgroup;type 
1;Python learning;2017-09-25;2017-11-26;Internship;Orientation;range
2;Python learning;2018-01-08;2018-01-21;Internship;Orientation;range
3;Deep learning Orientation;2017-10-09;2017-11-26;Internship;Orientation;range
4;Deep learning Orientation;2018-01-08;2018-03-04;Internship;Orientation;range
5;Proposal writing;2018-01-08;2018-02-04;Internship;Proposal;range
6;Proposal presentation;2018-01-29;2018-02-04;Internship;Proposal;range
7;Proposal presentation deadline;2018-02-06;NA;Internship;Proposal;point
8;Proposal deadline;2018-02-06;NA;Internship;Proposal;point
9;Database creation;2017-11-06;2017-11-26;Internship;Data;range
10;Database creation;2018-01-08;2018-03-04;Internship;Data;range
11;Network building;2017-11-06;2017-11-26;Internship;Neural Network;range
12;Network building;2018-01-08;2018-03-18;Internship;Neural Network;range
13;Network training and validation;2018-03-05;2018-04-29;Internship;Neural Network;range
14;Network testing and optimization;2018-04-23;2018-06-17;Internship;Neural Network;range
15;Article Writing;2018-05-21;2018-07-31;Internship;Writing;range
16;Presentation;2018-06-04;2018-06-17;Internship;Presentation;range
17;End presentation;2018-06-18;NA;Internship;Presentation;point
18;Article deadline;2018-07-31;NA;Internship;Writing;point
19;Vacation;2017-12-25;2018-01-07;Other;Vacation;range
20;Methods in Biodiversity Analysis;2017-11-26;2017-12-24;Other;Education;range
21;Biodiversity and Conservation;2018-04-02;2018-07-08;Other;Education;range
22;Break;2017-11-26;2018-01-08;NA;NA;background
