scientific_name;dorsal;head;profile;total
amblyopone_australis;29;29;29;87
anochetus_madagascarensis;39;39;39;117
aphaenogaster_swammerdami;38;38;38;114
azteca_alfari;21;24;23;68
bothroponera_cambouei;34;33;34;101
brachyponera_sennaarensis;30;30;29;89
camponotus_atriceps;35;33;35;103
camponotus_auropubens;27;27;27;81
camponotus_bonariensis;23;23;23;69
camponotus_christi;31;31;31;93
camponotus_grandidieri;35;35;35;105
camponotus_hova;90;90;89;269
camponotus_irritans;38;36;38;112
camponotus_maculatus;154;154;154;462
camponotus_planus;23;22;23;68
camponotus_punctulatus;36;35;36;107
camponotus_quadrimaculatus;34;34;34;102
camponotus_rufoglaucus;36;36;35;107
camponotus_thraso;24;24;24;72
camponotus_variegatus;34;32;34;100
cardiocondyla_emeryi;40;40;40;120
carebara_diversa;23;23;23;69
cataulacus_intrudens;27;27;27;81
colobopsis_vitrea;24;24;24;72
crematogaster_castanea;35;35;35;105
crematogaster_crinosa;27;27;28;82
crematogaster_dentata;30;30;30;90
crematogaster_gerstaeckeri;24;24;24;72
crematogaster_kelleri;25;25;25;75
crematogaster_ranavalonae;43;43;43;129
crematogaster_rasoherinae;31;31;32;94
crematogaster_stadelmanni;27;27;27;81
diacamma_rugosum;52;50;52;154
dorylus_fulvus;38;38;37;113
dorylus_kohli;33;33;33;99
dorylus_nigricans;62;61;60;183
eciton_burchellii;24;24;24;72
gnamptogenys_striatula;35;36;34;105
hypoponera_punctatissima;63;63;64;190
iridomyrmex_anceps;23;23;23;69
kalathomyrmex_emeryi;23;23;23;69
labidus_coecus;26;25;26;77
lepisiota_capensis;35;35;35;105
leptogenys_diminuta;36;35;35;106
monomorium_exiguum;30;28;30;88
monomorium_floricola;38;38;38;114
monomorium_subopacum;24;22;24;70
monomorium_termitobium;25;24;25;74
mystrium_camillae;42;41;42;125
mystrium_mirror;23;23;23;69
mystrium_mysticum;27;27;27;81
mystrium_rogeri;32;32;32;96
nomamyrmex_esenbeckii;27;26;27;80
nylanderia_bourbonica;31;31;31;93
nylanderia_madagascarensis;23;23;23;69
ochetellus_glaber;26;26;26;78
paratrechina_longicornis;40;41;41;122
pheidole_aurivillii;29;29;29;87
pheidole_biconstricta;21;23;26;70
pheidole_caffra;24;24;24;72
pheidole_fervens;43;43;43;129
pheidole_flavens;34;35;35;104
pheidole_indica;51;51;51;153
pheidole_megacephala;125;125;127;377
pheidole_mooreorum;33;36;36;105
pheidole_nodus;33;33;33;99
pheidole_oceanica;25;25;25;75
pheidole_pallidula;45;43;45;133
pheidole_parva;45;44;45;134
pheidole_punctulata;29;29;30;88
pheidole_radoszkowskii;28;28;28;84
pheidole_sculpturata;36;36;36;108
pheidole_susannae;24;25;26;75
pheidole_variabilis;37;37;37;111
platythyrea_parallela;33;33;33;99
polyrhachis_dives;24;23;24;71
pseudomyrmex_gracilis;23;23;23;69
pseudoponera_stigma;26;26;26;78
solenopsis_fugax;29;27;28;84
solenopsis_geminata;51;53;53;157
strumigenys_emmae;31;30;30;91
strumigenys_louisianae;29;31;30;90
strumigenys_rogeri;25;25;25;75
tapinoma_melanocephalum;36;36;36;108
technomyrmex_albipes;28;28;28;84
technomyrmex_pallipes;38;38;38;114
technomyrmex_vitiensis;23;22;23;68
tetramorium_aculeatum;26;26;26;78
tetramorium_bicarinatum;32;31;32;95
tetramorium_caespitum;24;24;24;72
tetramorium_lanuginosum;38;38;38;114
tetramorium_sericeiventre;64;64;64;192
tetramorium_simillimum;48;48;49;145
trichomyrmex_destructor;31;32;32;95
vollenhovia_oblonga;25;25;25;75
wasmannia_auropunctata;34;33;34;101
zasphinctus_imbecilis;24;21;24;69
